"idEquipoCasa","idFecha","idEquipoFuera","idVersionEquipoCasa","idVersionEquipoFuera","idLiga","temporada","jornada","idEstadio","formacionCasa","formacionFuera","golesResultadoCasa","golesResultadoFuera","golesMarcadosCasa","golesMarcadosFuera","golesEnPropiaCasa","golesEnPropiaFuera","tirosAPuertaCasa","tirosAPuertaFuera","tirosCasa","tirosFuera","tirosAlPosteCasa","tirosAlPosteFuera","tarjetasRojasCasa","tarjetasRojasFuera","tarjetasAmarillasCasa","tarjetasAmarillasFuera","segundasTarjetasAmarillasCasa","segundasTarjetasAmarillasFuera","faltasCometidasCasa","faltasCometidasFuera","libresDirectosGanadosCasa","libresDirectosGanadosFuera","manosCometidasCasa","manosCometidasFuera","cornersConcedidosCasa","cornersConcedidosFuera","fuerasDeJuegoConcedidosCasa","fuerasDeJuegoConcedidosFuera","penaltiesCometidosCasa","penaltiesCometidosFuera","asistenciasCasa","asistenciasFuera"
1,12042014,5,352,368,2,"2013/2014",33,54,"4-4-2","4-4-2",2,1,2,1,0,0,10,5,17,11,0,0,0,0,3,1,0,0,14,9,9,14,0,0,5,3,0,5,0,0,1,1
1,15092012,5,352,368,2,"2012/2013",5,54,"4-2-2-2","4-2-3-1",3,0,3,0,0,0,6,4,11,12,0,1,0,0,3,3,0,0,12,13,13,12,0,0,5,2,4,1,0,0,2,0
1,25042015,5,356,372,2,"2014/2015",34,54,"4-2-3-1","4-3-3",1,2,1,2,0,0,4,7,12,13,0,1,0,0,0,2,0,0,12,11,11,10,1,0,3,6,2,5,0,0,1,1
1,9082014,6,352,223,2,"2014/2015",1,54,"4-2-3-1","4-1-4-1",0,3,0,3,0,0,4,7,10,12,0,0,0,0,1,1,0,0,12,9,9,12,0,0,6,5,0,4,0,0,0,2
1,24092011,6,356,228,2,"2011/2012",8,54,"4-2-3-1","4-2-3-1",2,4,2,4,0,0,7,6,14,9,0,0,1,1,5,3,1,1,13,13,13,12,2,0,2,4,0,1,0,0,2,2
1,1122012,44,352,275,2,"2012/2013",15,54,"4-2-2-2","4-1-2-2-1",1,1,1,1,0,0,7,8,10,16,1,0,0,0,2,3,0,0,10,15,15,11,0,2,5,5,2,7,0,0,1,1
1,12012013,46,352,340,2,"2012/2013",20,54,"4-1-2-2-1","4-2-2-2",0,2,0,2,0,0,9,7,16,9,0,0,1,0,1,3,0,0,10,15,12,10,0,1,4,6,3,6,0,1,0,1
1,20052012,46,352,340,2,"2011/2012",38,54,"4-2-3-1","4-2-3-1",0,1,0,1,0,0,4,6,9,8,0,0,0,0,3,2,0,0,13,16,15,14,0,1,1,6,2,1,0,0,0,1
1,4102014,58,352,383,2,"2014/2015",9,54,"4-2-3-1","4-2-3-1",3,0,2,0,0,1,4,4,8,9,0,0,0,0,1,5,0,0,23,23,21,21,1,1,3,2,2,4,1,0,1,0
1,1022014,64,352,346,2,"2013/2014",23,54,"4-2-2-1-1","5-3-2",1,1,1,1,0,0,9,4,15,7,0,0,0,0,2,1,0,0,22,20,19,20,3,0,2,6,1,7,0,0,1,1
1,6052012,64,352,346,2,"2011/2012",36,54,"4-2-3-1","4-2-3-1",2,1,2,1,0,0,12,2,17,8,0,0,0,1,0,1,0,0,8,17,13,8,0,4,3,6,1,5,0,0,0,1
1,26012013,64,356,351,2,"2012/2013",22,54,"4-2-3-1","4-2-3-1",1,1,1,1,0,0,7,7,15,10,0,0,0,0,1,2,0,0,16,11,10,12,4,1,3,7,1,4,0,0,1,1
1,29102011,66,356,210,2,"2011/2012",12,54,"4-2-3-1","4-1-2-1-2",3,1,3,1,0,0,10,12,14,19,0,0,0,0,2,5,0,0,11,18,14,10,2,2,4,4,3,5,0,1,3,0
1,24092014,68,356,324,2,"2014/2015",7,54,"4-2-3-1","4-3-3",2,1,2,1,0,0,7,7,14,9,0,0,0,0,0,0,0,0,7,14,16,7,0,0,2,4,1,4,0,0,1,1
1,6032012,69,352,293,2,"2011/2012",23,54,"4-2-2-2","4-1-2-2-1",2,0,2,0,0,0,7,6,11,12,0,0,0,0,1,1,0,0,22,9,10,19,3,0,2,5,3,2,0,0,1,0
1,10022013,69,352,293,2,"2012/2013",24,54,"4-2-2-2","4-2-3-1",1,1,1,1,0,0,12,7,17,14,0,0,0,2,2,4,0,1,13,13,10,12,0,3,7,6,1,6,1,0,0,1
1,12012014,69,352,293,2,"2013/2014",20,54,"4-4-2","4-3-3",1,2,1,2,0,0,10,6,14,9,0,1,0,0,0,0,0,0,11,12,11,11,0,1,2,9,7,4,0,0,1,1
1,14092014,69,352,293,2,"2014/2015",5,54,"4-2-3-1","4-2-3-1",1,3,1,2,1,0,6,4,12,6,0,0,0,0,1,0,0,0,13,12,12,13,0,0,3,5,3,4,0,0,1,2
1,3112012,76,352,281,2,"2012/2013",11,54,"4-2-3-1","4-1-2-2-1",0,2,0,2,0,0,6,7,15,12,0,0,0,0,2,1,0,0,13,15,13,13,0,2,5,7,3,8,0,0,0,2
1,12042015,76,352,281,2,"2014/2015",32,54,"4-2-3-1","4-4-2",0,1,0,1,0,0,6,5,9,9,0,0,0,0,4,2,0,0,13,12,11,11,2,0,1,8,1,3,0,1,0,0
1,16022014,76,352,281,2,"2013/2014",25,54,"4-3-2-1","4-3-2-1",2,2,2,2,0,0,4,6,7,10,0,0,0,0,3,1,0,0,18,9,8,16,2,0,3,1,3,7,0,1,1,2
1,24032012,76,356,286,2,"2011/2012",29,54,"4-2-2-2","4-1-2-2-1",0,3,0,3,0,0,4,8,7,11,0,0,0,0,2,4,0,0,21,14,12,20,0,2,5,1,2,2,1,0,0,1
1,4032015,88,352,245,2,"2014/2015",26,54,"4-2-3-1","4-4-2",1,0,1,0,0,0,3,14,7,17,0,1,0,0,3,3,0,0,13,8,7,12,1,1,5,4,4,1,0,0,1,0
1,19112011,88,352,245,2,"2011/2012",14,54,"4-2-2-2","4-2-2-2",2,1,2,1,0,0,6,10,8,15,0,0,0,0,3,2,0,0,21,6,6,20,1,0,5,2,2,9,0,1,1,1
1,23112013,88,356,250,2,"2013/2014",14,54,"4-2-3-1","4-2-2-2",0,4,0,4,0,0,4,6,6,11,0,0,1,0,3,2,0,0,10,11,11,8,2,0,2,5,2,7,0,1,0,3
1,29092012,88,356,250,2,"2012/2013",7,54,"4-2-2-2","4-2-2-2",1,1,1,1,0,0,12,4,13,10,0,0,0,0,5,1,0,0,21,10,9,22,0,1,9,5,2,4,0,0,1,1
1,19102013,95,352,378,2,"2013/2014",10,54,"4-4-2","4-2-3-1",1,2,1,2,0,0,5,6,10,9,0,0,0,0,2,0,0,0,17,12,12,17,0,0,6,4,1,6,0,0,1,2
1,30112014,95,356,382,2,"2014/2015",15,54,"4-3-3","4-5-1",2,0,2,0,0,0,3,7,9,12,0,0,0,0,1,1,0,0,12,8,6,11,1,2,5,4,2,1,0,0,1,0
1,7122014,96,352,251,2,"2014/2015",17,54,"4-2-3-1","4-2-1-1-2",2,3,2,3,0,0,2,14,6,20,0,0,0,0,2,3,0,0,16,21,19,14,1,2,6,1,4,3,1,0,1,1
1,10052012,96,352,251,2,"2011/2012",34,54,"4-2-3-1","4-2-3-1",1,3,1,3,0,0,5,12,10,16,1,0,0,0,2,1,0,0,15,12,10,13,1,1,5,3,3,3,0,1,1,1
1,24082012,96,356,256,2,"2012/2013",3,54,"4-1-2-2-1","4-2-2-2",1,1,1,1,0,0,8,4,18,10,0,0,0,0,2,2,0,0,13,15,16,14,0,0,5,6,3,7,0,0,1,0
1,31082013,96,356,256,2,"2013/2014",4,54,"4-2-3-1","4-2-3-1",2,1,2,1,0,0,7,5,15,6,0,0,0,0,1,1,0,0,10,13,13,10,0,0,10,3,1,2,0,0,2,0
1,7022015,109,352,217,2,"2014/2015",24,54,"4-2-3-1","4-3-3",0,1,0,1,0,0,7,1,8,4,0,0,0,0,1,3,0,0,17,18,15,17,1,1,1,5,2,4,0,0,0,1
1,11082012,109,352,217,2,"2012/2013",1,54,"4-2-2-2","4-2-2-2",2,3,2,3,0,0,5,8,9,13,0,0,0,0,3,3,0,0,10,14,13,8,2,1,6,6,1,2,0,0,1,3
1,28092013,109,356,222,2,"2013/2014",8,54,"4-2-3-1","4-2-3-1",1,1,1,1,0,0,3,10,11,17,0,0,0,1,3,3,0,0,22,17,16,21,2,1,8,6,2,3,0,0,1,0
1,29012012,109,356,222,2,"2011/2012",21,54,"4-2-3-1","3-4-3",0,0,0,0,0,0,3,5,8,10,0,0,0,0,1,1,0,0,17,16,15,15,2,0,3,1,4,4,0,1,0,0
1,7032015,110,352,263,2,"2014/2015",28,54,"4-5-1","4-2-3-1",1,3,1,3,0,0,8,7,11,11,0,0,0,0,0,1,0,0,11,8,8,11,0,0,3,6,3,2,0,0,1,2
