"fechaNacimiento","fechaNacimientoTextual","pesoKilogramos","alturaCentimetros","idDatosJugador"
19920229,"29/02/1992",85,183,1
19891215,"15/12/1989",66,170,2
19910513,"13/05/1991",74,170,3
19820508,"08/05/1982",90,183,4
19791108,"08/11/1979",70,183,5
19860904,"04/09/1986",73,183,6
19960130,"30/01/1996",66,173,7
19870416,"16/04/1987",63,165,8
19930219,"19/02/1993",82,190,9
19871028,"28/10/1987",77,175,10
19801125,"25/11/1980",82,183,11
19900915,"15/09/1990",68,175,12
19900830,"30/08/1990",76,188,13
19890426,"26/04/1989",65,170,14
19901226,"26/12/1990",70,178,15
19961013,"13/10/1996",74,173,16
19910408,"08/04/1991",80,183,17
19791021,"21/10/1979",72,190,18
19860702,"02/07/1986",68,175,19
19760712,"12/07/1976",84,188,20
19890619,"19/06/1989",73,178,21
19861022,"22/10/1986",73,185,22
19900317,"17/03/1990",73,180,23
19841205,"05/12/1984",78,183,24
19911205,"05/12/1991",73,180,25
19780912,"12/09/1978",65,173,26
19810114,"14/01/1981",75,185,27
19940209,"09/02/1994",72,180,28
19861001,"01/10/1986",77,183,29
19830601,"01/06/1983",71,178,30
19781101,"01/11/1978",82,190,31
19850128,"28/01/1985",81,188,32
19960504,"04/05/1996",72,183,33
19880117,"17/01/1988",79,180,34
19940208,"08/02/1994",96,201,35
19881025,"25/10/1988",73,183,36
19900220,"20/02/1990",71,178,37
19840309,"09/03/1984",71,183,38
19910101,"01/01/1991",79,198,39
19900425,"25/04/1990",68,183,40
19910521,"21/05/1991",70,173,41
19901228,"28/12/1990",76,183,42
19920330,"30/03/1992",79,188,43
19930101,"01/01/1993",75,183,44
19780226,"26/02/1978",99,188,45
19940105,"05/01/1994",75,175,46
19801006,"06/10/1980",82,185,47
19940303,"03/03/1994",77,188,48
19900320,"20/03/1990",75,183,49
19911227,"27/12/1991",76,183,50
19890210,"10/02/1989",86,183,51
19910919,"19/09/1991",71,173,52
19870227,"27/02/1987",70,183,53
19940702,"02/07/1994",70,178,54
19860525,"25/05/1986",66,173,55
19810806,"06/08/1981",78,183,56
19851102,"02/11/1985",78,175,57
19921225,"25/12/1992",75,188,58
19870101,"01/01/1987",71,175,59
19930312,"12/03/1993",72,180,60
19850106,"06/01/1985",80,185,61
19820220,"20/02/1982",75,183,62
19900808,"08/08/1990",73,185,63
19900106,"06/01/1990",81,185,64
19921109,"09/11/1992",67,180,65
19901205,"05/12/1990",77,183,66
19781222,"22/12/1978",75,178,67
19820415,"15/04/1982",79,188,68
19880203,"03/02/1988",75,180,69
