"tipoEventoTextual","tipoEventoTextualCorto","situacion","esGol","parteCuerpo","localizacion","formaAsistencia","lugarDisparo","finalizacionDisparo","idDetallesEvento"
"Sin información del evento","S/N","Sin información","Sin información","Sin información","Sin Información","Sin información","Sin información","Sin información",0
"Tarjeta Amarilla","TA","Sin información","No gol","Sin información","Sin Información","Sin asistencia","Sin información","Sin información",1
"Segunda Tarjeta Amarilla","STA","Sin información","No gol","Sin información","Sin Información","Sin asistencia","Sin información","Sin información",2
"Tarjeta Roja Directa","TRD","Sin información","No gol","Sin información","Sin Información","Sin asistencia","Sin información","Sin información",3
"Falta cometida","F","Sin información","No gol","Sin información","Sin Información","Sin asistencia","Sin información","Sin información",4
"Penalty cometido","P","Sin información","No gol","Sin información","Sin Información","Sin asistencia","Sin información","Sin información",5
"Corner concedido","C","Sin información","No gol","Sin información","Sin Información","Sin asistencia","Sin información","Sin información",6
"Fuera de juego concedido","FDJ","Sin información","No gol","Sin información","Sin Información","Sin asistencia","Sin información","Sin información",7
"Mano cometida","M","Sin información","No gol","Sin información","Sin Información","Sin asistencia","Sin información","Sin información",8
"Falta cometida","F","Sin información","No gol","Sin información","Sin Información","Centro","Sin información","Sin información",9
"Falta cometida","F","Sin información","No gol","Pie derecho","Sin Información","Sin asistencia","Sin información","Sin información",10
"Falta cometida","F","Corner","No gol","Pie derecho","Sin Información","Sin asistencia","Sin información","Sin información",11
"Falta cometida","F","Sin información","No gol","Pie derecho","Sin Información","Pase","Sin información","Sin información",12
"Falta cometida","F","Sin información","No gol","Pie derecho","Sin Información","Centro","Sin información","Sin información",13
"Falta cometida","F","Juego parado","No gol","Pie derecho","Sin Información","Centro","Sin información","Sin información",14
"Falta cometida","F","Sin información","No gol","Pie derecho","Sin Información","Pase en profundidad","Sin información","Sin información",15
"Falta cometida","F","Sin información","No gol","Pie izquierdo","Sin Información","Pase","Sin información","Sin información",16
"Falta cometida","F","Sin información","No gol","Pie izquierdo","Sin Información","Centro","Sin información","Sin información",17
"Libre directo lanzado","LD","Sin información","No gol","Sin información","Campo atacante","Sin asistencia","Sin información","Sin información",18
"Libre directo lanzado","LD","Sin información","No gol","Sin información","Campo defensor","Sin asistencia","Sin información","Sin información",19
"Libre directo lanzado","LD","Sin información","No gol","Sin información","Banda izquierda","Sin asistencia","Sin información","Sin información",20
"Libre directo lanzado","LD","Sin información","No gol","Sin información","Banda derecha","Sin asistencia","Sin información","Sin información",21
"Libre directo lanzado","LD","Sin información","No gol","Sin información","Sin Información","Sin asistencia","Sin información","Sin información",22
"Intento","I","Juego abierto","No gol","Pie derecho","Sin Información","Sin asistencia","Sin información","Sin información",23
"Falta cometida","F","Sin información","Gol","Sin información","Sin Información","Centro","Sin información","Sin información",24
"Falta cometida","F","Sin información","Gol","Pie derecho","Sin Información","Sin asistencia","Sin información","Sin información",25
"Falta cometida","F","Sin información","Gol","Pie derecho","Sin Información","Pase","Sin información","Sin información",26
"Falta cometida","F","Sin información","Gol","Pie izquierdo","Sin Información","Centro","Sin información","Sin información",27
"Gol en propia","GP","Juego abierto","Gol","Pie derecho","Sin Información","Sin asistencia","Sin información","Sin información",28
"Intento","I","Juego abierto","Gol","Pie derecho","Centro del área grande","Sin asistencia","Sin información","A portería",29
