"idEquipo","nombre","nombreCorto","versionActual"
1,"Evian Thonon Gaillard F.C.","ETG",356
2,"US Boulogne","BOU",333
3,"Novara Calcio","NOV",711
4,"Gazélec Ajaccio","GAJ",395
5,"S.C. Bastia","BAS",372
6,"Stade Malherbe Caen","CAE",228
7,"Córdoba CF","COR",918
8,"Granada CF","GRA",892
9,"U.S. Sassuolo Calcio","SAS",726
10,"Angers SCO","ANG",393
11,"FC St. Pauli","STP",528
12,"1. FC Nürnberg","NUR",510
13,"Hertha BSC","HBE",455
14,"Bayer 04 Leverkusen","LEV",413
15,"Burnley F.C.","BUR",138
16,"Fortuna Düsseldorf","FDU",540
17,"Leicester City F.C.","LEI",192
18,"TSG 1899 Hoffenheim","HOF",475
19,"FC Ingolstadt 04","ING",561
20,"SV Darmstadt 98","DAR",562
21,"Karlsruher SC","KAR",492
22,"Sevilla FC","SEV",796
23,"Getafe CF","GET",808
24,"Unión Deportiva Las Palmas","LAS",924
25,"Athletic Club","BIL",838
26,"Cardiff City F.C.","CAR",186
27,"1. FC Kaiserslautern","KAI",522
28,"Greuther Fürth","GRF",546
29,"SC Freiburg","FRE",504
30,"Rayo Vallecano","RAY",898
31,"Club Atlético Osasuna","OSA",755
32,"SD Eibar","EIB",912
33,"Club Deportivo Numancia","NUM",779
34,"Real Zaragoza","ZAR",866
35,"FC Energie Cottbus","COT",469
36,"FC Augsburg","AUG",534
37,"Chelsea F.C.","CHE",114
38,"Manchester City F.C.","MCI",60
39,"SC Paderborn 07","PAD",556
40,"Portsmouth F.C.","POR",120
41,"Southampton F.C.","SOU",168
42,"Sunderland A.F.C.","SUN",30
43,"Huelva","HUE",820
44,"A.S. Nancy-Lorraine","NAN",280
45,"Blackpool F.C.","BLA",144
46,"Stade Brestois 29","BRE",345
47,"Atalanta B.C.","ATA",568
48,"Wigan Athletic F.C.","WIG",48
49,"Cagliari","CAG",579
50,"Calcio Catania","CAT",591
51,"A.C. ChievoVerona","CHI",603
52,"Empoli F.C.","EMP",732
53,"ACF Fiorentina","FIO",614
54,"Associazione Sportiva Livorno Calcio","LIV",689
55,"Unione Sportiva Città di Palermo","PAL",677
56,"S.S. Lazio","LAZ",585
57,"Middlesbrough F.C.","MID",78
58,"F.C. Metz","MET",387
59,"Robur Siena","SIE",573
60,"RCD Espanyol","ESP",826
61,"Bolton Wanderers F.C.","BOL",90
62,"Real Sociedad","SOC",887
63,"A.C. Milan","ACM",626
64,"A.C. Ajaccio","AJA",351
65,"Levante UD","LEV",881
66,"A.J. Auxerre","AUX",210
67,"Tottenham Hotspur F.C.","TOT",84
68,"R.C. Lens","LEN",324
69,"Olympique de Marseille","MAR",298
70,"Udinese Calcio","UDI",671
71,"Wolverhampton Wanderers F.C.","WOL",132
72,"Real Betis Balompié","BET",814
