"idJugador","nombre","versionActual","idDatosJugador"
1,"Aaron Appindangoye",1,1
2,"Aaron Cresswell",6,2
3,"Aaron Doran",39,3
4,"Aaron Galindo",65,4
5,"Aaron Hughes",88,5
6,"Aaron Hunt",113,6
7,"Aaron Kuhl",140,7
8,"Aaron Lennon",147,8
9,"Aaron Lennox",173,9
10,"Aaron Meijers",180,10
11,"Aaron Mokoena",199,11
12,"Aaron Mooy",207,12
13,"Aaron Muirhead",235,13
14,"Aaron Niguez",243,14
15,"Aaron Ramsey",270,15
16,"Aaron Splaine",310,16
17,"Aaron Taylor-Sinclair",318,17
18,"Aaron Wilbraham",336,18
19,"Aatif Chahechouhe",358,19
20,"Abasse Ba",374,20
21,"Abdelaziz Barrada",379,21
22,"Abdelfettah Boukhriss",393,22
23,"Abdelhamid El Kaoutari",395,23
24,"Abdelkader Ghezzal",416,24
25,"Abdellah Zoubir",442,25
26,"Abdelmajid Oulmers",447,26
27,"Abdelmalek Cherrad",452,27
28,"Abdelmalek El Hasnaoui",457,28
29,"Abdelouahed Chakhsi",460,29
30,"Abderrazak Jadid",466,30
31,"Abdeslam Ouaddou",479,31
32,"Abdessalam Benjelloun",485,32
33,"Abdou Diallo",491,33
34,"Abdou Traore",501,34
35,"Abdoul Ba",526,35
36,"Abdoul Karim Yoda",533,36
37,"Abdoul Razzagui Camara",555,37
38,"Abdoulay Konko",579,38
39,"Abdoulaye Ba",610,39
40,"Abdoulaye Bamba",641,40
41,"Abdoulaye Diaby",656,41
42,"Abdoulaye Diallo Sadio",676,42
43,"Abdoulaye Diallo",696,43
44,"Abdoulaye Doucoure",715,44
45,"Abdoulaye Faye",733,45
46,"Abdoulaye Keita",748,46
47,"Abdoulaye Meite",755,47
48,"Abdoulaye Toure",766,48
49,"Abdoulwahid Sissoko",773,49
50,"Abdourahman Dampha",794,50
51,"Abdul Aziz Tetteh",803,51
52,"Abdul Majeed Waris",816,52
53,"Abdul Osman",836,53
54,"Abdul Rahman Baba",858,54
55,"Abdul-Yakinu Iddi",885,55
56,"Abdulkader Keita",900,56
57,"Abdulla Fatadi",908,57
58,"Abdullah Al Hafith",911,58
59,"Abdullah Omar",926,59
60,"Abdullahi Shehu",930,60
61,"Abel Aguilar",936,61
62,"Abel Gomez",964,62
63,"Abel Hernandez",985,63
64,"Abel Issa Camara",1009,64
65,"Abel Khaled",1023,65
66,"Abel Tamata",1031,66
67,"Abel",1046,67
68,"Abella Perez Damia",1051,68
69,"Abiola Dauda",1076,69
70,"Abou Diaby",1092,70
71,"Aboubacar Tandia",1119,71
72,"Aboubakar Kamara",1122,72
73,"Aboubakar Oumarou",1129,73
74,"Abraham Gonzalez",1144,74
75,"Abraham Guie Gneki",1169,75
76,"Abraham Kudemor",1177,76
77,"Abraham Minero",1186,77
78,"Abraham Paz Cruz",1206,78
79,"Achille Coser",1220,79
80,"Achille Emana",1241,80
81,"Achille Vaarnold",1270,81
82,"Achmed Ahahaoui",1273,82
83,"Achraf Lazaar",1278,83
84,"Aco Stojkov",1304,84
85,"Adailton",1307,85
86,"Adailton",1324,86
87,"Adalberto Penaranda",1330,87
88,"Adam Armstrong",1344,88
89,"Adam Banas",1361,89
90,"Adam Bodzek",1380,90
91,"Adam Bogdan",1416,91
92,"Adam Brown",1432,92
93,"Adam Buksa",1434,93
94,"Adam Campbell",1443,94
95,"Adam Collin",1465,95
96,"Adam Cummins",1498,96
97,"Adam Danch",1503,97
98,"Adam Deja",1521,98
99,"Adam Drury",1536,99
100,"Adam Drury",1553,100
101,"Adam Duda",1571,101
102,"Adam Dzwigala",1579,102
103,"Adam Federici",1596,103
104,"Adam Fraczczak",1616,104
105,"Adam Gyurcso",1646,105
106,"Adam Hammill",1659,106
107,"Adam Henley",1686,107
108,"Adam Hlousek",1701,108
109,"Adam Johnson",1729,109
110,"Adam King",1754,110
111,"Adam Kokoszka",1770,111
112,"Adam Lallana",1793,112
113,"Adam Le Fondre",1832,113
114,"Adam Maher",1866,114
115,"Adam Marciniak",1888,115
116,"Adam Marusic",1901,116
117,"Adam Masina",1912,117
118,"Adam Matthews",1926,118
119,"Adam Matuschyk",1946,119
120,"Adam Mojta",1967,120
121,"Adam Morgan",1980,121
122,"Adam Nemec",1993,122
123,"Adam Ounas",2025,123
124,"Adam Pazio",2036,124
125,"Adam Pinter",2050,125
126,"Adam Rooney",2064,126
127,"Adam Ryczkowski",2091,127
128,"Adam Sarota",2100,128
129,"Adam Smith",2119,129
130,"Adam Szalai",2142,130
131,"Adam Taggart",2174,131
132,"Adam Vass",2197,132
133,"Adam Waszkiewicz",2207,133
134,"Adama Ba",2215,134
135,"Adama Coulibaly",2229,135
136,"Adama Francois",2248,136
137,"Adama Soumaoro",2266,137
138,"Adama Traore",2282,138
139,"Adama Traore",2310,139
140,"Adamo Coulibaly",2319,140
141,"Adel Taarabt",2327,141
142,"Adem Ljajic",2377,142
143,"Aderlan Santos",2419,143
144,"Aderlan",2444,144
145,"Adil Auassar",2452,145
146,"Adil Chihi",2463,146
147,"Adil Hermach",2484,147
148,"Adil Rami",2500,148
149,"Adil Ramzi",2535,149
150,"Adilson",2542,150
151,"Adis Jahovic",2549,151
152,"Adlene Guedioura",2559,152
153,"Admir Aganovic",2593,153
154,"Admir Mehmedi",2599,154
155,"Adnan Alisic",2637,155
156,"Adnan Custovic",2643,156
157,"Adnan Januzaj",2652,157
158,"Adnan Mravac",2674,158
159,"Adnane Tighadouini",2693,159
160,"Adrian Basta",2715,160
161,"Adrian Blad",2731,161
162,"Adrian Chomiuk",2749,162
163,"Adrian Colunga",2752,163
164,"Adrian Cristea",2778,164
165,"Adrian Daniel Calello",2785,165
166,"Adrian Embarba",2808,166
167,"Adrian Gonzalez",2821,167
168,"Adrian Gunino",2842,168
169,"Adrian Klepczynski",2859,169
170,"Adrian Lopez",2874,170
171,"Adrian Mariappa",2905,171
172,"Adrian Marin",2932,172
173,"Adrian Mrowiec",2942,173
174,"Adrian Mutu",2952,174
175,"Adrian Nikci",2964,175
176,"Adrian Paluchowski",2992,176
177,"Adrian Rakowski",2996,177
178,"Adrian Ramos",3006,178
179,"Adrian Ricardo Centurion",3039,179
180,"Adrian Ricchiuti",3057,180
181,"Adrian Sardinero Corpa",3069,181
182,"Adrian Stoian",3082,182
183,"Adrian Winter",3116,183
184,"Adrian",3140,184
185,"Adriano De Pierro",3168,185
186,"Adriano Facchini",3173,186
187,"Adriano Ferreira Pinto",3190,187
188,"Adriano Jose de Lara",3203,188
189,"Adriano Pereira da Silva",3209,189
190,"Adriano Russo",3221,190
191,"Adriano",3234,191
192,"Adriano",3238,192
193,"Adriano",3251,193
194,"Adriano",3278,194
195,"Adrien Goni",3285,195
196,"Adrien Hunou",3290,196
197,"Adrien Rabiot",3308,197
198,"Adrien Rawyler",3322,198
199,"Adrien Regattin",3328,199
200,"Adrien Silva",3352,200
201,"Adrien Thomasson",3400,201
202,"Adrien Trebel",3415,202
203,"Adryan",3436,203
204,"Afonso Alves",3470,204
205,"Afonso",3477,205
206,"Afriyie Acquah",3487,206
207,"Ager Aketxe",3515,207
208,"Agim Ibraimi",3538,208
209,"Agon Mehmeti",3548,209
210,"Agustin Vuletich",3585,210
211,"Ahmed Ammi",3598,211
212,"Ahmed Apimah Barusso",3611,212
213,"Ahmed El Messaoudi",3637,213
214,"Ahmed El Mohamady",3653,214
215,"Ahmed Hamoudi",3678,215
216,"Ahmed Hassan Koka",3686,216
217,"Ahmed Hegazy",3719,217
218,"Ahmed Kantari",3735,218
219,"Ahmed Kashi",3756,219
220,"Ahmed Musa",3771,220
221,"Ahmed Saied Okka",3789,221
222,"Ahmed Samir Farag",3793,222
223,"Ahmed Soukouna",3800,223
224,"Ahmet Ozcan",3804,224
225,"Aidan Connolly",3810,225
226,"Aidan Nesbitt",3819,226
227,"Aiden Chippendale",3824,227
228,"Aiden McGeady",3832,228
229,"Aimo Stefano Diana",3861,229
230,"Airam Cabrera",3868,230
231,"Airton",3885,231
232,"Aislan",3908,232
233,"Aissa Laidouni",3921,233
234,"Aissa Mandi",3923,234
235,"Aitor Nunez",3945,235
236,"Aitor Ocio",3951,236
237,"Aiyegbeni Yakubu",3961,237
238,"Akaki Gogia",3981,238
239,"Akihiro Ienaga",3991,239
240,"Akoete Eninful",3996,240
241,"Akos Buzsaky",3999,241
242,"Akpo Sodje",4008,242
243,"Akwetey Mensah",4025,243
244,"Alaeddine Yahia",4027,244
245,"Alain Cantareil",4048,245
246,"Alain Nef",4057,246
247,"Alain Pierre Mendy",4088,247
248,"Alain Rochat",4092,248
249,"Alain Schultz",4112,249
250,"Alain Traore",4121,250
251,"Alain Wiss",4151,251
252,"Alan Combe",4172,252
253,"Alan Gow",4181,253
254,"Alan Haydock",4204,254
255,"Alan Henrique",4207,255
256,"Alan Hutton",4212,256
257,"Alan Kardec",4244,257
258,"Alan Mannus",4267,258
259,"Alan Martin",4293,259
260,"Alan Maybury",4313,260
261,"Alan O'Brien",4327,261
262,"Alan Schons",4334,262
263,"Alan Smith",4341,263
264,"Alan Tate",4364,264
265,"Alan Uryga",4387,265
266,"Alan",4400,266
267,"Alassane Diallo",4434,267
268,"Alassane Plea",4439,268
269,"Alassane Tambe",4459,269
270,"Alassane Toure",4477,270
271,"Alban Joinel",4496,271
272,"Alban Lafont",4500,272
273,"Alban Meha",4503,273
274,"Alban Pnishi",4524,274
275,"Albano Benjamin Bizzarri",4532,275
276,"Albert Baning",4553,276
277,"Albert Bunjaku",4558,277
278,"Albert Crusat",4581,278
279,"Albert Meyong Ze",4595,279
280,"Albert Rafetraniaina",4610,280
281,"Albert Riera",4625,281
282,"Albert Rusnak",4655,282
283,"Albert Streit",4681,283
284,"Alberto Aquilani",4691,284
285,"Alberto Botia",4734,285
286,"Alberto Brignoli",4757,286
287,"Alberto Bueno",4773,287
288,"Alberto Cifuentes",4803,288
289,"Alberto De la Bella",4819,289
290,"Alberto Fontana",4840,290
291,"Alberto Frison",4844,291
292,"Alberto Garcia",4872,292
293,"Alberto Gilardino",4889,293
294,"Alberto Giuliatto",4923,294
295,"Alberto Grassi",4931,295
296,"Alberto Guitian",4949,296
297,"Alberto Lopo",4963,297
298,"Alberto Luque",4985,298
299,"Alberto Maria Fontana",4992,299
300,"Alberto Moreno",5000,300
301,"Alberto Paloschi",5024,301
302,"Alberto Pelagotti",5061,302
303,"Alberto Perea",5076,303
304,"Alberto Pomini",5090,304
305,"Alberto Regazzoni",5109,305
306,"Alberto Rey",5122,306
307,"Alberto Rivera",5127,307
308,"Alberto Rodriguez",5141,308
309,"Alberto Zapater",5158,309
310,"Albian Ajeti",5181,310
311,"Albin Ebondo",5190,311
