"idTipoEvento","golMarcado","golEnPropia","asistencia","tiroAPuerta","tiro","tiroAlPoste","tarjetaRoja","tarjetaAmarilla","segundaTarjetaAmarilla","faltaCometida","libreDirectoGanado","manoCometida","cornerConcedido","fueraDeJuegoConcedido","penaltyCometido"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
6,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
12,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
13,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
14,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
15,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
16,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
17,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
