"idVersionEquipo","idEquipo","fechaRecopilacion","fechaRecopilacionTextual","velocidadPlanDeJuego","velocidadPlanDeJuegoClase","regatesPlanDeJuegoClase","pasesPlanDeJuego","pasesPlanDeJuegoClase","colocacionPlanDeJuegoClase","pasesCreacionOcasiones","pasesCreacionOcasionesClase","centrosCreacionOcasiones","centrosCreacionOcasionesClase","tirosCreacionOcasiones","tirosCreacionOcasionesClase","colocaCreacionOcasionesClase","presionDefensa","presionDefensaClase","agresividadDefensa","agresividadDefensaClase","anchuraEquipoDefensa","anchuraEquipoDefensaClase","lineaDefensivaDefensaClase"
352,1,20110222,"22/02/2011",35,"Balanced","Little",65,"Mixed","Organised",50,"Normal",65,"Normal",65,"Normal","Organised",45,"Medium",55,"Press",65,"Normal","Cover"
353,1,20120222,"22/02/2012",53,"Balanced","Little",44,"Mixed","Organised",52,"Normal",52,"Normal",64,"Normal","Organised",47,"Medium",56,"Press",50,"Normal","Cover"
354,1,20130920,"20/09/2013",53,"Balanced","Little",44,"Mixed","Organised",52,"Normal",52,"Normal",64,"Normal","Organised",47,"Medium",56,"Press",50,"Normal","Cover"
355,1,20140919,"19/09/2014",61,"Balanced","Normal",44,"Mixed","Organised",52,"Normal",61,"Normal",48,"Normal","Organised",47,"Medium",56,"Press",50,"Normal","Cover"
356,1,20150910,"10/09/2015",58,"Balanced","Normal",56,"Mixed","Organised",52,"Normal",61,"Normal",51,"Normal","Organised",47,"Medium",43,"Press",50,"Normal","Cover"
331,2,20100222,"22/02/2010",45,"Balanced","Little",30,"Short","Organised",35,"Normal",55,"Normal",60,"Normal","Organised",70,"High",60,"Press",70,"Wide","Offside Trap"
332,2,20110222,"22/02/2011",50,"Balanced","Little",35,"Mixed","Organised",35,"Normal",65,"Normal",65,"Normal","Organised",35,"Medium",55,"Press",65,"Normal","Cover"
333,2,20120222,"22/02/2012",49,"Balanced","Little",37,"Mixed","Organised",47,"Normal",57,"Normal",50,"Normal","Organised",45,"Medium",44,"Press",66,"Normal","Cover"
708,3,20110222,"22/02/2011",53,"Balanced","Little",35,"Mixed","Organised",50,"Normal",64,"Normal",49,"Normal","Organised",60,"Medium",51,"Press",40,"Normal","Offside Trap"
709,3,20120222,"22/02/2012",55,"Balanced","Little",50,"Mixed","Organised",50,"Normal",50,"Normal",50,"Normal","Organised",35,"Medium",45,"Press",50,"Normal","Cover"
710,3,20130920,"20/09/2013",66,"Balanced","Little",62,"Mixed","Organised",56,"Normal",55,"Normal",61,"Normal","Organised",36,"Medium",49,"Press",62,"Normal","Cover"
711,3,20140919,"19/09/2014",66,"Balanced","Normal",56,"Mixed","Organised",56,"Normal",55,"Normal",57,"Normal","Organised",36,"Medium",49,"Press",53,"Normal","Cover"
394,4,20130920,"20/09/2013",61,"Balanced","Little",52,"Mixed","Organised",55,"Normal",66,"Normal",58,"Normal","Organised",47,"Medium",46,"Press",53,"Normal","Cover"
395,4,20150910,"10/09/2015",48,"Balanced","Normal",52,"Mixed","Organised",55,"Normal",53,"Normal",55,"Normal","Organised",42,"Medium",46,"Press",53,"Normal","Cover"
368,5,20100222,"22/02/2010",40,"Balanced","Little",45,"Mixed","Organised",50,"Normal",35,"Normal",55,"Normal","Organised",70,"High",70,"Double",70,"Wide","Offside Trap"
369,5,20120222,"22/02/2012",50,"Balanced","Little",50,"Mixed","Organised",50,"Normal",51,"Normal",49,"Normal","Organised",44,"Medium",45,"Press",50,"Normal","Cover"
370,5,20130920,"20/09/2013",50,"Balanced","Little",50,"Mixed","Organised",50,"Normal",51,"Normal",49,"Normal","Organised",44,"Medium",45,"Press",50,"Normal","Cover"
371,5,20140919,"19/09/2014",67,"Fast","Normal",43,"Mixed","Organised",56,"Normal",51,"Normal",49,"Normal","Organised",39,"Medium",47,"Press",48,"Normal","Cover"
372,5,20150910,"10/09/2015",61,"Balanced","Normal",52,"Mixed","Organised",56,"Normal",51,"Normal",49,"Normal","Organised",44,"Medium",55,"Press",48,"Normal","Cover"
223,6,20100222,"22/02/2010",65,"Balanced","Little",30,"Short","Organised",50,"Normal",65,"Normal",40,"Normal","Organised",70,"High",65,"Press",70,"Wide","Cover"
224,6,20110222,"22/02/2011",65,"Balanced","Little",35,"Mixed","Organised",35,"Normal",65,"Normal",65,"Normal","Organised",55,"Medium",45,"Press",65,"Normal","Cover"
225,6,20120222,"22/02/2012",48,"Balanced","Little",52,"Mixed","Organised",48,"Normal",54,"Normal",53,"Normal","Organised",47,"Medium",45,"Press",51,"Normal","Cover"
226,6,20130920,"20/09/2013",48,"Balanced","Little",52,"Mixed","Organised",48,"Normal",54,"Normal",53,"Normal","Organised",47,"Medium",45,"Press",51,"Normal","Cover"
227,6,20140919,"19/09/2014",62,"Balanced","Normal",45,"Mixed","Organised",48,"Normal",54,"Normal",53,"Normal","Organised",43,"Medium",42,"Press",51,"Normal","Cover"
228,6,20150910,"10/09/2015",62,"Balanced","Normal",45,"Mixed","Organised",48,"Normal",54,"Normal",53,"Normal","Organised",43,"Medium",42,"Press",51,"Normal","Cover"
913,7,20100222,"22/02/2010",30,"Slow","Little",30,"Short","Organised",35,"Normal",45,"Normal",60,"Normal","Organised",35,"Medium",30,"Contain",40,"Normal","Cover"
914,7,20110222,"22/02/2011",39,"Balanced","Little",41,"Mixed","Organised",40,"Normal",42,"Normal",46,"Normal","Organised",40,"Medium",38,"Press",44,"Normal","Cover"
915,7,20120222,"22/02/2012",40,"Balanced","Little",53,"Mixed","Organised",40,"Normal",71,"Lots",48,"Normal","Organised",36,"Medium",41,"Press",52,"Normal","Cover"
916,7,20130920,"20/09/2013",40,"Balanced","Little",53,"Mixed","Organised",40,"Normal",71,"Lots",48,"Normal","Organised",36,"Medium",41,"Press",52,"Normal","Cover"
917,7,20140919,"19/09/2014",40,"Balanced","Normal",53,"Mixed","Organised",40,"Normal",66,"Normal",48,"Normal","Organised",36,"Medium",41,"Press",52,"Normal","Cover"
918,7,20150910,"10/09/2015",53,"Balanced","Normal",48,"Mixed","Organised",55,"Normal",59,"Normal",57,"Normal","Organised",38,"Medium",39,"Press",52,"Normal","Cover"
888,8,20110222,"22/02/2011",53,"Balanced","Little",52,"Mixed","Organised",54,"Normal",59,"Normal",55,"Normal","Organised",54,"Medium",49,"Press",67,"Wide","Cover"
889,8,20120222,"22/02/2012",48,"Balanced","Little",37,"Mixed","Organised",72,"Risky",76,"Lots",52,"Normal","Organised",49,"Medium",45,"Press",68,"Wide","Cover"
890,8,20130920,"20/09/2013",52,"Balanced","Little",37,"Mixed","Organised",72,"Risky",76,"Lots",52,"Normal","Organised",49,"Medium",45,"Press",68,"Wide","Cover"
891,8,20140919,"19/09/2014",52,"Balanced","Normal",37,"Mixed","Organised",67,"Risky",68,"Lots",52,"Normal","Organised",49,"Medium",45,"Press",64,"Normal","Cover"
892,8,20150910,"10/09/2015",57,"Balanced","Normal",59,"Mixed","Organised",61,"Normal",63,"Normal",51,"Normal","Organised",48,"Medium",45,"Press",62,"Normal","Cover"
721,9,20100222,"22/02/2010",30,"Slow","Little",30,"Short","Organised",30,"Safe",30,"Little",60,"Normal","Organised",30,"Deep",30,"Contain",30,"Narrow","Cover"
722,9,20110222,"22/02/2011",50,"Balanced","Little",50,"Mixed","Organised",50,"Normal",61,"Normal",60,"Normal","Organised",45,"Medium",30,"Contain",30,"Narrow","Cover"
723,9,20120222,"22/02/2012",50,"Balanced","Little",50,"Mixed","Organised",50,"Normal",50,"Normal",50,"Normal","Organised",35,"Medium",45,"Press",50,"Normal","Cover"
724,9,20130920,"20/09/2013",57,"Balanced","Little",60,"Mixed","Organised",56,"Normal",63,"Normal",64,"Normal","Organised",38,"Medium",47,"Press",53,"Normal","Offside Trap"
725,9,20140919,"19/09/2014",57,"Balanced","Lots",60,"Mixed","Organised",66,"Normal",57,"Normal",63,"Normal","Organised",54,"Medium",47,"Press",36,"Normal","Offside Trap"
726,9,20150910,"10/09/2015",57,"Balanced","Normal",60,"Mixed","Organised",56,"Normal",57,"Normal",56,"Normal","Organised",38,"Medium",47,"Press",53,"Normal","Cover"
388,10,20100222,"22/02/2010",45,"Balanced","Little",35,"Mixed","Organised",35,"Normal",50,"Normal",60,"Normal","Organised",30,"Deep",55,"Press",30,"Narrow","Offside Trap"
389,10,20110222,"22/02/2011",65,"Balanced","Little",50,"Mixed","Organised",50,"Normal",65,"Normal",65,"Normal","Organised",45,"Medium",45,"Press",50,"Normal","Cover"
390,10,20120222,"22/02/2012",50,"Balanced","Little",50,"Mixed","Organised",52,"Normal",52,"Normal",48,"Normal","Organised",44,"Medium",44,"Press",51,"Normal","Cover"
391,10,20130920,"20/09/2013",50,"Balanced","Little",50,"Mixed","Organised",52,"Normal",52,"Normal",48,"Normal","Organised",44,"Medium",44,"Press",51,"Normal","Cover"
392,10,20140919,"19/09/2014",48,"Balanced","Normal",50,"Mixed","Organised",40,"Normal",52,"Normal",48,"Normal","Organised",44,"Medium",44,"Press",51,"Normal","Cover"
393,10,20150910,"10/09/2015",48,"Balanced","Normal",50,"Mixed","Organised",40,"Normal",52,"Normal",48,"Normal","Organised",44,"Medium",44,"Press",51,"Normal","Cover"
523,11,20100222,"22/02/2010",60,"Balanced","Little",60,"Mixed","Organised",50,"Normal",70,"Lots",70,"Lots","Organised",60,"Medium",70,"Double",55,"Normal","Cover"
524,11,20110222,"22/02/2011",60,"Balanced","Little",42,"Mixed","Organised",63,"Normal",55,"Normal",56,"Normal","Organised",49,"Medium",60,"Press",55,"Normal","Cover"
525,11,20120222,"22/02/2012",53,"Balanced","Little",64,"Mixed","Organised",60,"Normal",34,"Normal",53,"Normal","Organised",49,"Medium",44,"Press",59,"Normal","Cover"
526,11,20130920,"20/09/2013",53,"Balanced","Little",56,"Mixed","Organised",62,"Normal",46,"Normal",53,"Normal","Organised",49,"Medium",44,"Press",57,"Normal","Cover"
527,11,20140919,"19/09/2014",53,"Balanced","Normal",56,"Mixed","Organised",68,"Risky",53,"Normal",34,"Normal","Organised",46,"Medium",44,"Press",54,"Normal","Cover"
